Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
IEMG,iShares Core MSCI Emerging Markets ETF,Equity,"$100,165,000,000",20.27%,"10,073,588",$62.05,1.27%,No,False,2.16%,3.31%,21.27%,10.68%,6.32%,"$8,421,861,360.00",$0.00,"$700,769,520.00","$9,488,127,600.00","$16,032,232,200.00","$35,329,578,180.00",Emerging Markets Equities,2012-10-18,0.09%,Fidelity,$1.87,2025-06-16,$0.71,3.07%,10.56,0.75,2638,24.14%,40%,20%,1099,$60.12,$62.11,$61.67,$62.24,64.11,A,A,B+,B-,A-,A,5.89,14.23%,33.20%,315.37,3.44%,4.44%
VXUS,Vanguard Total International Stock ETF,Equity,"$100,004,000,000",21.71%,"4,330,036",$71.00,1.11%,No,False,2.51%,2.90%,22.35%,12.98%,9.50%,"$10,201,430,243.83","$38,005,042.54","$1,686,730,533.54","$14,282,359,523.49","$30,665,013,734.19","$58,150,559,392.13",Foreign Large Cap Equities,2011-01-26,0.05%,Vanguard,$1.95,2025-06-20,$0.48,2.75%,12.20,0.85,8490,11.68%,40%,20%,1099,$68.17,$71.13,$70.58,$71.22,62.81,A,A,A-,B-,B,A,7.03,10.66%,75.16%,171.62,9.56%,5.20%
VGT,Vanguard Information Technology ETF,Equity,"$99,655,400,000",13.82%,"504,169",$706.07,1.55%,No,False,3.29%,5.33%,31.81%,23.73%,19.79%,"$4,442,526,672.93","$231,735,206.01","$581,675,750.76","$7,538,382,071.73","$11,631,779,593.15","$14,711,708,684.71",Technology Equities,2004-01-26,0.09%,Vanguard,$3.13,2025-06-26,$0.70,0.46%,27.40,1.16,321,58.88%,40%,20%,1099,$675.07,$702.66,$698.13,$710.09,65.69,A,A,A-,B+,A-,A,6.79,71.63%,65.74%,24.39,3.50%,17.10%
IJH,iShares Core S&P Mid-Cap ETF,Equity,"$95,427,000,000",2.85%,"7,037,413",$63.71,2.28%,No,False,1.35%,0.43%,10.76%,8.90%,11.92%,"$858,343,408.60","$196,828,314.40","$41,985,426.95","$5,389,140,777.65","$15,883,693,463.75","$20,343,761,233.75",Mid Cap Growth Equities,2000-05-22,0.05%,2 Platforms,$0.86,2025-06-16,$0.19,1.35%,12.82,1.12,402,7.28%,40%,20%,1099,$61.89,$64.66,$62.90,$64.13,56.26,A,A-,C+,B,A,B+,6.13,62.33%,38.94%,107.45,4.65%,6.61%
VWO,Vanguard FTSE Emerging Markets ETF,Equity,"$94,576,800,000",16.73%,"8,469,818",$51.21,1.15%,No,False,2.09%,3.27%,20.72%,10.39%,6.62%,"$3,428,327,776.65","$8,340,208.97","$644,884,810.72","$5,698,386,128.41","$7,074,412,473.50","$23,085,226,898.05",Emerging Markets Equities,2005-03-04,0.07%,3 Platforms,$1.39,2025-06-20,$0.14,2.75%,10.90,0.69,4894,25.65%,40%,20%,1099,$49.67,$51.30,$50.93,$51.37,64.30,A,A+,B+,B-,B,A+,5.88,13.56%,33.06%,363.15,2.55%,4.33%
VIG,Vanguard Dividend Appreciation ETF,Equity,"$93,533,800,000",7.53%,"834,900",$208.67,0.94%,No,False,1.30%,1.33%,14.70%,12.40%,12.58%,"$1,368,561,454.61","$71,604,920.69","$273,635,651.94","$3,867,359,917.58","$6,127,933,723.18","$14,564,903,059.52",Large Cap Growth Equities,2006-04-21,0.05%,3 Platforms,$3.52,2025-06-30,$0.87,1.70%,21.50,0.85,339,32.57%,40%,20%,1099,$204.50,$209.38,$207.61,$209.25,58.90,A,A,A-,A,A-,B,6.82,80.67%,66.89%,92.84,7.78%,1.74%
VO,Vanguard Mid-Cap ETF,Equity,"$85,025,300,000",9.11%,"620,662",$285.81,1.20%,No,False,0.40%,1.27%,19.26%,10.43%,11.81%,"$7,025,062,791.86","-$143,572,928.49","-$525,039,359.60","$9,907,816,903.35","$15,529,193,291.52","$25,488,391,398.86",Mid Cap Growth Equities,2004-01-26,0.04%,2 Platforms,$4.28,2025-06-30,$1.07,1.51%,18.40,1.08,301,8.89%,40%,20%,1099,$280.48,$289.93,$284.02,$286.72,56.85,A-,A,B-,B-,A,B-,6.72,92.38%,62.65%,237.98,10.35%,6.08%
XLK,Technology Select Sector SPDR Fund,Equity,"$84,421,800,000",15.74%,"5,987,798",$268.21,1.55%,No,False,3.11%,4.83%,30.26%,23.00%,20.19%,"$1,801,267,313.70","-$25,869,469.35","$984,373,706.85","$1,349,896,269.70","$4,120,199,772.60","$5,340,035,411.35",Technology Equities,1998-12-16,0.09%,N/A,$1.56,2025-06-23,$0.40,0.60%,23.77,1.14,70,65.41%,40%,20%,1099,$257.07,$267.10,$265.36,$269.67,65.66,A+,A,A-,A-,A,B+,7.09,83.50%,77.46%,20.31,5.71%,15.55%
SPLG,SPDR Portfolio S&P 500 ETF,Equity,"$80,485,900,000",10.37%,"8,772,636",$75.62,1.10%,No,False,2.34%,3.09%,22.10%,16.97%,15.80%,"$20,730,588,177.70","$850,951,587.25","$2,470,018,848.35","$28,905,042,051.70","$48,731,986,911.60","$55,893,664,157.75",Large Cap Blend Equities,2005-11-08,0.02%,N/A,$0.89,2025-06-27,$0.21,1.20%,17.86,1.00,505,38.50%,40%,20%,1099,$73.21,$75.48,$75.15,$75.87,65.82,A,A+,A-,B,B-,N/A,6.24,37.76%,42.85%,93.6,12.45%,8.85%
IJR,iShares Core S&P Small-Cap ETF,Equity,"$80,240,500,000",-0.06%,"4,653,013",$114.38,3.21%,No,False,3.21%,1.38%,7.35%,5.08%,10.32%,"-$3,649,065,526.15","-$171,737,268.25","-$236,438,505.35","-$1,637,503,613.85","$5,788,226,156.20","$14,723,574,331.20",Small Cap Blend Equities,2000-05-22,0.06%,2 Platforms,$2.36,2025-06-16,$0.39,2.10%,11.90,1.15,604,7.44%,40%,20%,1099,$109.01,$114.31,$112.41,$115.38,59.87,A+,A,B-,B+,A-,B+,5.69,30.61%,29.10%,101.32,3.73%,8.15%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity,"$73,424,700,000",9.80%,"1,593,692",$140.40,1.20%,No,False,2.22%,2.94%,21.94%,16.12%,15.01%,"$3,592,495,918.80","$124,320,852.25","$564,957,973.85","$4,778,357,591.75","$8,049,677,992.45","$17,461,556,977.45",Large Cap Growth Equities,2004-01-20,0.03%,Fidelity,$1.68,2025-06-16,$0.39,1.22%,18.56,1.02,2447,33.87%,40%,20%,1099,$136.10,$140.21,$139.46,$140.90,65.08,A,A,B-,B,B+,A,6.19,27.28%,40.86%,94.38,11.33%,8.50%
RSP,Invesco S&P 500® Equal Weight ETF,Equity,"$71,442,300,000",6.46%,"10,875,563",$184.90,1.27%,No,False,0.89%,0.26%,12.87%,8.95%,12.49%,"-$3,364,974,170.00","-$373,732,170.00","-$1,925,274,610.00","$7,664,176,960.00","$28,200,622,780.00","$42,352,908,650.00",Large Cap Blend Equities,2003-04-24,0.20%,Charles Schwab,$2.17,2025-06-23,$0.72,1.18%,16.14,1.05,505,2.73%,40%,20%,1099,$180.92,$187.95,$183.56,$185.62,55.62,A+,A-,B-,B-,B,A-,6.79,85.78%,65.58%,190.01,10.08%,6.05%
SCHD,Schwab US Dividend Equity ETF,Equity,"$69,608,700,000",1.06%,"15,776,104",$27.10,1.16%,No,False,1.35%,-0.84%,5.09%,5.84%,10.96%,"$5,485,838,500.00","-$196,595,500.00","-$240,584,000.00","$12,855,096,529.21","$28,601,133,029.21","$49,460,775,529.21",Large Cap Blend Equities,2011-10-20,0.06%,Charles Schwab,$1.53,2025-06-25,$0.26,5.62%,14.91,0.88,101,41.57%,40%,20%,1099,$26.42,$27.46,$26.92,$27.20,54.59,A,A,C+,B-,A,C+,6.58,55.85%,56.83%,108.16,11.89%,2.81%
EFA,iShares MSCI EAFE ETF,Equity,"$64,818,400,000",22.56%,"13,742,682",$91.09,1.22%,No,False,3.00%,2.41%,21.49%,14.30%,10.49%,"$1,570,710,960.00",$0.00,$0.00,"$1,989,763,740.00","$895,021,440.00","-$887,712,900.00",Foreign Large Cap Equities,2001-08-14,0.32%,N/A,$2.58,2025-06-16,$1.52,2.91%,13.43,0.86,698,12.21%,40%,20%,1099,$87.02,$91.44,$90.53,$91.40,60.21,A+,B+,B+,B,B,A,7.63,66.47%,91.88%,82.41,14.92%,5.44%
VB,Vanguard Small Cap ETF,Equity,"$62,969,900,000",2.78%,"823,633",$245.16,2.38%,No,False,1.56%,1.18%,13.82%,8.38%,10.81%,"-$113,069,563.57","-$1,459,182.52","-$648,503,583.99","$2,591,950,493.10","$9,890,110,702.81","$17,394,996,868.83",Small Cap Blend Equities,2004-01-26,0.05%,2 Platforms,$3.32,2025-06-30,$0.79,1.36%,13.30,1.14,1340,4.98%,40%,20%,1099,$237.59,$247.82,$242.05,$246.76,57.76,A,A,A-,A-,A-,A-,6.01,53.25%,35.79%,124.61,6.00%,7.29%
IVW,iShares S&P 500 Growth ETF,Equity,"$62,508,600,000",14.34%,"2,285,066",$115.83,1.12%,No,False,2.46%,4.63%,31.70%,19.40%,16.39%,"-$846,102,826.75","-$125,797,074.90","-$474,973,978.70","-$2,005,078,882.30","$6,293,434,945.45","$2,785,473,525.45",Large Cap Growth Equities,2000-05-22,0.18%,Fidelity,$0.50,2025-06-16,$0.12,0.45%,20.79,1.05,213,54.65%,40%,20%,1099,$111.25,$115.55,$114.90,$116.30,66.25,A,B+,A,C+,A,B+,6.13,19.22%,38.87%,52.02,11.04%,13.63%
VYM,Vanguard High Dividend Yield Index ETF,Equity,"$62,206,400,000",8.51%,"949,439",$136.63,1.14%,No,False,1.76%,1.28%,17.09%,11.47%,13.69%,"-$854,642,468.53","$91,335,364.54","$287,633,437.52","$619,795,844.49","$2,345,803,943.60","$14,592,323,716.16",Large Cap Blend Equities,2006-11-10,0.06%,2 Platforms,$3.53,2025-06-20,$0.86,2.61%,14.80,0.84,584,25.38%,40%,20%,1099,$133.17,$137.05,$135.83,$137.03,60.35,A,A,C+,B+,A,A-,6.56,52.03%,55.94%,174.49,13.04%,1.89%
IWD,iShares Russell 1000 Value ETF,Equity,"$61,425,400,000",7.50%,"2,320,572",$197.29,1.10%,No,False,1.38%,0.50%,13.51%,9.96%,12.39%,"-$4,878,517,912.45","-$38,922,751.25","-$919,404,421.95","-$492,204,408.05","-$5,098,707,597.75","$1,236,678,597.40",Large Cap Blend Equities,2000-05-22,0.18%,TD Ameritrade,$3.64,2025-06-16,$0.84,1.86%,14.89,0.95,873,17.64%,40%,20%,1099,$192.84,$199.56,$196.18,$197.89,57.15,A,A-,B-,B,B+,A,6.28,48.26%,44.92%,154.64,16.97%,3.64%
IWM,iShares Russell 2000 ETF,Equity,"$60,087,800,000",3.16%,"33,903,792",$226.81,2.97%,No,False,2.70%,2.30%,12.12%,6.38%,9.00%,"-$11,190,835,245.00","$187,333,226.05","-$5,372,631,591.15","-$6,761,180,563.90","-$2,171,561,636.15","$2,803,283,563.85",Small Cap Blend Equities,2000-05-22,0.19%,N/A,$2.48,2025-06-16,$0.58,1.11%,10.96,1.15,1972,4.13%,40%,20%,1099,$216.65,$226.85,$222.98,$228.81,60.21,A+,B+,B-,B,B+,A,5.44,15.65%,25.42%,120.61,3.25%,6.96%
SCHX,Schwab U.S. Large-Cap ETF,Equity,"$57,799,700,000",10.43%,"10,995,877",$25.45,1.11%,No,False,2.29%,3.04%,22.44%,16.83%,15.44%,"$1,657,132,000.00","$78,841,500.00","$244,309,000.00","$6,326,058,424.80","$9,311,500,924.80","$12,440,633,424.80",Large Cap Growth Equities,2009-11-03,0.03%,Charles Schwab,$0.42,2025-06-25,$0.07,1.67%,18.90,1.01,749,36.21%,40%,20%,1099,$24.65,$25.41,$25.28,$25.53,65.85,A,A,B,B,A-,A,6.23,35.34%,42.52%,92.2,12.00%,8.75%
QQQM,Invesco NASDAQ 100 ETF,Equity,"$57,459,300,000",13.81%,"2,978,356",$238.78,1.25%,No,False,3.55%,4.67%,29.28%,22.29%,N/A,"$12,355,166,560.00","$694,072,260.00","$1,685,703,400.00","$17,740,037,610.00","$36,292,849,530.00","$41,958,152,950.00",Large Cap Growth Equities,2020-10-13,0.15%,N/A,$1.24,2025-06-23,$0.32,0.52%,22.70,1.18,103,52.11%,40%,20%,1099,$228.14,$237.31,$236.67,$239.90,67.23,A,B+,N/A,C+,C,B+,6.19,27.88%,41.00%,54.39,9.39%,10.61%
QUAL,iShares MSCI USA Quality Factor ETF,Equity,"$53,237,300,000",5.60%,"1,224,394",$187.23,1.04%,No,False,1.82%,1.83%,12.26%,16.25%,14.17%,"$1,678,367,047.20","$64,574,159.05","-$202,593,384.30","$2,135,712,897.50","$16,702,820,119.35","$14,800,251,539.05",Large Cap Growth Equities,2013-07-18,0.15%,N/A,$1.87,2025-06-16,$0.39,1.01%,17.62,1.03,127,42.79%,40%,20%,1099,$182.71,$187.40,$186.11,$187.83,59.22,A,A-,B+,B,B+,B-,6.69,80.92%,61.71%,37.84,1.84%,7.96%
XLF,Financial Select Sector SPDR Fund,Equity,"$51,534,300,000",9.31%,"36,871,080",$52.46,1.22%,No,False,1.47%,0.58%,26.23%,16.47%,17.80%,"$127,477,314.95","-$160,942,936.20","$1,109,848,191.60","$1,725,317,996.90","$5,015,642,048.20","$10,335,281,226.25",Financials Equities,1998-12-16,0.09%,N/A,$0.72,2025-06-23,$0.17,1.38%,12.51,1.07,76,54.53%,40%,20%,1099,$51.21,$53.49,$52.15,$52.66,53.88,A+,A,A-,B+,B-,B+,6.32,35.28%,46.12%,22.83,12.07%,0.15%
VT,Vanguard Total World Stock ETF,Equity,"$51,322,200,000",14.15%,"2,424,203",$133.03,1.19%,No,False,2.37%,2.93%,22.10%,14.99%,12.80%,"$4,120,918,694.43","$367,881,985.59","$1,445,604,144.59","$6,752,262,412.50","$14,143,317,566.09","$22,500,095,443.34",Large Cap Growth Equities,2008-06-24,0.06%,2 Platforms,$2.27,2025-06-20,$0.60,1.75%,15.40,0.94,9847,20.53%,40%,20%,1099,$128.69,$132.76,$132.21,$133.44,64.96,A,A,C+,A-,A-,A+,6.5,20.56%,53.48%,122.18,10.78%,7.18%
SCHF,Schwab International Equity ETF,Equity,"$49,858,400,000",23.23%,"8,131,048",$22.65,1.12%,No,False,2.77%,2.77%,22.57%,14.02%,10.61%,"$1,693,374,000.00","$261,032,000.00","$415,382,000.00","$4,077,568,000.00","$10,381,415,000.00","$18,175,530,000.00",Foreign Large Cap Equities,2009-11-03,0.03%,Charles Schwab,$0.57,2025-06-25,$0.14,2.58%,11.70,0.87,1432,10.06%,40%,20%,1099,$21.64,$22.70,$22.51,$22.72,61.51,A,A,B+,B-,A-,A,7.53,48.46%,89.47%,101.55,13.38%,5.42%
VEU,Vanguard FTSE All-World ex-US Index Fund,Equity,"$47,899,600,000",21.49%,"2,840,133",$69.04,1.13%,No,False,2.55%,2.92%,22.13%,13.20%,9.60%,"$3,138,232,079.50","$151,506,888.47","$886,075,791.30","$3,450,434,047.59","$4,394,359,415.55","$12,459,071,781.82",Foreign Large Cap Equities,2007-03-02,0.04%,2 Platforms,$1.85,2025-06-20,$0.47,2.75%,12.20,0.82,3759,12.51%,40%,20%,1099,$66.27,$69.18,$68.65,$69.26,62.58,A,A,A-,B-,B,A,7.11,14.45%,78.02%,166.19,10.19%,5.09%
IXUS,iShares Core MSCI Total International Stock ETF,Equity,"$46,852,300,000",22.03%,"1,823,500",$79.48,1.18%,No,False,2.57%,2.87%,22.69%,13.14%,9.49%,"$2,314,245,430.00",$0.00,$0.00,"$3,547,227,170.00","$7,832,803,640.00","$16,481,065,420.00",Foreign Large Cap Equities,2012-10-18,0.07%,Fidelity,$2.35,2025-06-16,$1.17,2.96%,12.16,0.84,4177,9.61%,40%,20%,1099,$76.32,$79.62,$79.02,$79.71,62.80,A,A,A-,B+,B,A,7.02,9.83%,74.58%,166.35,9.99%,5.35%
SCHG,Schwab U.S. Large-Cap Growth ETF,Equity,"$46,729,200,000",10.33%,"8,594,805",$30.69,1.19%,No,False,2.78%,4.57%,27.82%,22.65%,17.90%,"$5,519,321,000.00","$78,193,000.00","$525,656,000.00","$8,205,407,000.00","$14,112,338,500.00","$15,675,884,500.00",Large Cap Growth Equities,2009-12-11,0.04%,Charles Schwab,$0.19,2025-06-25,$0.03,0.66%,25.77,1.10,228,58.12%,40%,20%,1099,$29.46,$30.62,$30.42,$30.83,65.67,A,A,A,C+,C+,B+,6.1,16.61%,38.11%,30.81,8.75%,12.78%
VV,Vanguard Large Cap ETF,Equity,"$43,793,400,000",10.78%,"247,427",$296.88,1.08%,No,False,2.35%,3.21%,22.88%,17.25%,15.65%,"$1,187,981,942.73","$15,452,920.32","$168,173,623.09","$1,183,447,791.78","$2,807,456,880.68","$5,874,263,941.85",Large Cap Growth Equities,2004-01-27,0.04%,Vanguard,$3.39,2025-06-30,$0.85,1.17%,20.30,1.01,469,36.15%,40%,20%,1099,$287.34,$296.30,$295.11,$297.76,65.66,A-,A,B,B,B+,A-,6.21,30.24%,41.53%,92.32,12.31%,8.55%
IWR,iShares Russell Midcap ETF,Equity,"$42,704,100,000",6.95%,"1,738,328",$93.98,1.55%,No,False,0.56%,0.88%,16.62%,10.25%,11.65%,"$2,319,542,766.55","$149,091,531.45","$330,382,355.35","$3,914,065,726.35","$5,420,776,850.30","$8,104,365,355.30",Mid Cap Blend Equities,2001-07-17,0.18%,N/A,$1.22,2025-06-16,$0.26,1.30%,16.45,1.09,816,5.76%,40%,20%,1099,$92.07,$95.52,$93.21,$94.38,55.85,A+,A-,B+,B,B,A,6.59,86.23%,56.96%,193.66,7.57%,5.89%
IWB,iShares Russell 1000 ETF,Equity,"$41,969,400,000",10.11%,"864,064",$352.90,1.14%,No,False,2.24%,2.99%,22.29%,16.53%,15.28%,"-$1,565,143,407.35","-$451,232,298.40","-$84,378,579.80","-$719,402,442.80","-$1,512,642,426.00","-$2,047,251,287.60",Large Cap Growth Equities,2000-05-15,0.15%,TD Ameritrade,$3.75,2025-06-16,$0.84,1.09%,19.16,1.01,1013,35.09%,40%,20%,1099,$342.04,$352.40,$350.74,$354.02,65.41,A,A-,B-,B+,B+,A,6.21,30.32%,41.54%,93.83,11.89%,8.43%
JEPI,JPMorgan Equity Premium Income Fund,Equity,"$40,541,700,000",2.96%,"4,689,948",$56.34,0.54%,No,False,0.79%,-0.11%,8.66%,8.44%,10.28%,"$4,717,553,750.00","-$1,512,000.00","$90,095,500.00","$7,476,662,500.00","$28,337,259,750.00","$40,959,736,000.00",Large Cap Blend Equities,2020-05-20,0.35%,N/A,$4.81,2025-08-01,$0.36,8.54%,18.15,0.62,110,18.48%,40%,20%,1099,$55.64,$57.12,$56.17,$56.45,53.48,A,B+,B,A,A,N/A,6.61,84.12%,58.39%,189.21,9.11%,5.22%
IVE,iShares S&P 500 Value ETF,Equity,"$39,914,900,000",5.85%,"575,656",$200.40,1.03%,No,False,2.21%,1.27%,10.36%,12.89%,13.83%,"$3,566,536,197.15","$88,671,685.25","$180,114,345.25","$4,270,372,112.75","$6,695,998,155.65","$10,780,958,205.65",Large Cap Blend Equities,2000-05-22,0.18%,2 Platforms,$3.76,2025-06-16,$0.81,1.90%,18.40,0.94,399,28.86%,40%,20%,1099,$194.95,$201.16,$199.37,$200.95,60.54,A,A-,A-,B,A-,B+,6.37,57.49%,48.19%,141.24,13.97%,3.31%
SPYG,SPDR Portfolio S&P 500 Growth ETF,Equity,"$39,672,900,000",14.43%,"2,257,255",$100.29,1.12%,No,False,2.44%,4.64%,31.85%,19.54%,16.58%,"$1,299,204,059.60","$181,381,514.90","$199,423,404.55","$4,233,865,224.10","$9,497,007,197.50","$15,074,108,434.70",Large Cap Growth Equities,2000-09-25,0.04%,N/A,$0.55,2025-06-23,$0.14,0.57%,19.67,1.05,213,54.63%,40%,20%,1099,$96.32,$100.04,$99.49,$100.70,66.27,A,A,A-,C+,B,B+,6.13,19.19%,38.87%,52.0,11.09%,13.70%
